Genus	Species	Subspecies	Ploidy Level (x)	DNA Amount1C (pg)	Original Reference
Acacia	tortilis		4	0.5	Bukhari,1997
Acacia	caffra		2	0.6	Bukhari,1997
Acacia	nilotica	var. indica	4	0.5	Bukhari,1997
Acacia	polycantha		4	0.6	Bukhari,1997
Acacia	albida		2	0.6	Bukhari,1997
Acacia	drepanolobium		4	0.6	Bukhari,1997
Acacia	mellifera		2	0.6	Bukhari,1997
Acacia	cupularis		-	0.6	Gallagher et al.,2011
Acacia	modesta		2	0.6	Ohri,1996
Acacia	sieberana		2	0.6	Bukhari,1997
Acacia	pyrifolia		-	0.63	Gallagher et al.,2011
Acacia	victoriae		-	0.63	Gallagher et al.,2011
Acacia	jibberdingensis		-	0.64	Gallagher et al.,2011
Acacia	salicina		-	0.64	Gallagher et al.,2011
Acacia	cyclops		-	0.64	Gallagher et al.,2011
Acacia	ampliceps		-	0.65	Gallagher et al.,2011
Acacia	rupicola		-	0.65	Gallagher et al.,2011
Acacia	mangium		2	0.65	Blakesley et al.,2002
Acacia	tetragonophylla		-	0.66	Gallagher et al.,2011
Acacia	iteaphylla		-	0.67	Gallagher et al.,2011
Acacia	cambagei		-	0.68	Gallagher et al.,2011
Acacia	alata		-	0.68	Gallagher et al.,2011
Acacia	rigens		-	0.68	Gallagher et al.,2011
Acacia	lasiocalyx		-	0.68	Gallagher et al.,2011
Acacia	senegal		2	0.68	Odee et al.,2015
Acacia	auriculiformis		-	0.69	Gallagher et al.,2011
Acacia	stenophylla		-	0.69	Gallagher et al.,2011
Acacia	catechu		2	0.7	Ohri,1996
Acacia	mearnsii		2	0.7	Bukhari,1997
Acacia	tortilis	subsp. raddiana (Savi) Brenan	2	0.7	Ouarda et al.,2009
Acacia	leptoneura		-	0.71	Gallagher et al.,2011
Acacia	merrallii		-	0.72	Gallagher et al.,2011
Acacia	constricta		-	0.73	Sliwinska et al.,2009
Acacia	microcarpa		-	0.73	Gallagher et al.,2011
Acacia	glaucescens		-	0.74	Gallagher et al.,2011
Acacia	imbricata		-	0.75	Gallagher et al.,2011
Acacia	subulata		-	0.75	Gallagher et al.,2011
Acacia	myrtifolia		-	0.75	Gallagher et al.,2011
Acacia	macradenia		-	0.75	Gallagher et al.,2011
Acacia	stricta		-	0.75	Gallagher et al.,2011
Acacia	crassicarpa		-	0.76	Gallagher et al.,2011
Acacia	colletioides		-	0.77	Morgan & Westoby,2005
Acacia	quornensis		-	0.77	Gallagher et al.,2011
Acacia	hemiteles		-	0.77	Gallagher et al.,2011
Acacia	lineata		-	0.78	Gallagher et al.,2011
Acacia	acinacea		-	0.79	Gallagher et al.,2011
Acacia	extensa		-	0.79	Gallagher et al.,2011
Acacia	melanoxylon		2	0.8	Coulaud et al.,1995
Acacia	ramulosa		-	0.8	Gallagher et al.,2011
Acacia	implexa		2	0.8	Bukhari,1997
Acacia	heterophylla	cv. Ravenshoe	2	0.8	Marie & Brown,1993
Acacia	irrorata		-	0.81	Gallagher et al.,2011
Acacia	argyrophylla		-	0.81	Gallagher et al.,2011
Acacia	wilhelmiana		-	0.81	Morgan & Westoby,2005
Acacia	viscidula		-	0.81	Gallagher et al.,2011
Acacia	doratoxylon		-	0.81	Morgan & Westoby,2005
Acacia	calamifolia		-	0.82	Gallagher et al.,2011
Acacia	schinoides		-	0.82	Gallagher et al.,2011
Acacia	decora		-	0.82	Gallagher et al.,2011
Acacia	sophorae		2	0.8	Bukhari,1997
Acacia	longissima		-	0.83	Gallagher et al.,2011
Acacia	pycnantha		-	0.83	Gallagher et al.,2011
Acacia	howittii		-	0.85	Gallagher et al.,2011
Acacia	nubica		4	0.9	Bukhari,1997
Acacia	suaveolens		-	0.86	Gallagher et al.,2011
Acacia	brachybotrya		-	0.86	Gallagher et al.,2011
Acacia	terminalis		-	0.86	Gallagher et al.,2011
Acacia	ixiophylla		-	0.86	Gallagher et al.,2011
Acacia	decurrens		-	0.86	Gallagher et al.,2011
Acacia	kempeana		-	0.86	Gallagher et al.,2011
Acacia	smallii		-	0.86	Sliwinska et al.,2009
Acacia	retinodes		-	0.87	Gallagher et al.,2011
Acacia	pruinosa		-	0.87	Gallagher et al.,2011
Acacia	pendula		-	0.87	Gallagher et al.,2011
Acacia	baileyana		-	0.87	Gallagher et al.,2011
Acacia	dealbata		2	0.87	Blakesley et al.,2002
Acacia	podalyriifolia		-	0.87	Gallagher et al.,2011
Acacia	subporosa		-	0.88	Gallagher et al.,2011
Acacia	elata		-	0.88	Gallagher et al.,2011
Acacia	beckleri		-	0.88	Gallagher et al.,2011
Acacia	montana		-	0.88	Gallagher et al.,2011
Acacia	cognata		-	0.89	Gallagher et al.,2011
Acacia	paradoxa		-	0.89	Gallagher et al.,2011
Acacia	undulifolia		-	0.9	Gallagher et al.,2011
Acacia	cardiophylla		-	0.9	Gallagher et al.,2011
Acacia	saliciformis		-	0.9	Gallagher et al.,2011
Acacia	jonesii		-	0.91	Gallagher et al.,2011
Acacia	leiophylla		-	0.91	Gallagher et al.,2011
Acacia	verticillata		-	0.91	Gallagher et al.,2011
Acacia	silvestris		-	0.92	Gallagher et al.,2011
Acacia	oswaldii		-	0.92	Morgan & Westoby,2005
Acacia	acuminata		-	0.93	Gallagher et al.,2011
Acacia	deanei		-	0.94	Gallagher et al.,2011
Acacia	flexifolia		-	0.94	Gallagher et al.,2011
Acacia	aspera		-	0.94	Gallagher et al.,2011
Acacia	rubida		-	0.95	Gallagher et al.,2011
Acacia	vestita		-	0.95	Gallagher et al.,2011
Acacia	raddiana		6	1	Bukhari,1997
Acacia	uncinata		-	0.95	Gallagher et al.,2011
Acacia	caesiella		-	0.95	Gallagher et al.,2011
Acacia	tortilis		4	0.5	Bukhari,1997
Acacia	caffra		2	0.6	Bukhari,1997
Acacia	nilotica	var. indica	4	0.5	Bukhari,1997
Acacia	polycantha		4	0.6	Bukhari,1997
Acacia	albida		2	0.6	Bukhari,1997
Acacia	drepanolobium		4	0.6	Bukhari,1997
Acacia	mellifera		2	0.6	Bukhari,1997
Acacia	cupularis		-	0.6	Gallagher et al.,2011
Acacia	modesta		2	0.6	Ohri,1996
Acacia	sieberana		2	0.6	Bukhari,1997
Acacia	pyrifolia		-	0.63	Gallagher et al.,2011
Acacia	victoriae		-	0.63	Gallagher et al.,2011
Acacia	jibberdingensis		-	0.64	Gallagher et al.,2011
Acacia	salicina		-	0.64	Gallagher et al.,2011
Acacia	cyclops		-	0.64	Gallagher et al.,2011
Acacia	ampliceps		-	0.65	Gallagher et al.,2011
Acacia	rupicola		-	0.65	Gallagher et al.,2011
Acacia	mangium		2	0.65	Blakesley et al.,2002
Acacia	tetragonophylla		-	0.66	Gallagher et al.,2011
Acacia	iteaphylla		-	0.67	Gallagher et al.,2011
Acacia	cambagei		-	0.68	Gallagher et al.,2011
Acacia	alata		-	0.68	Gallagher et al.,2011
Acacia	rigens		-	0.68	Gallagher et al.,2011
Acacia	lasiocalyx		-	0.68	Gallagher et al.,2011
Acacia	senegal		2	0.68	Odee et al.,2015
Acacia	auriculiformis		-	0.69	Gallagher et al.,2011
Acacia	stenophylla		-	0.69	Gallagher et al.,2011
Acacia	catechu		2	0.7	Ohri,1996
Acacia	mearnsii		2	0.7	Bukhari,1997
Acacia	tortilis	subsp. raddiana (Savi) Brenan	2	0.7	Ouarda et al.,2009
Acacia	leptoneura		-	0.71	Gallagher et al.,2011
Acacia	merrallii		-	0.72	Gallagher et al.,2011
Acacia	constricta		-	0.73	Sliwinska et al.,2009
Acacia	microcarpa		-	0.73	Gallagher et al.,2011
Acacia	glaucescens		-	0.74	Gallagher et al.,2011
Acacia	imbricata		-	0.75	Gallagher et al.,2011
Acacia	subulata		-	0.75	Gallagher et al.,2011
Acacia	myrtifolia		-	0.75	Gallagher et al.,2011
Acacia	macradenia		-	0.75	Gallagher et al.,2011
Acacia	stricta		-	0.75	Gallagher et al.,2011
Acacia	crassicarpa		-	0.76	Gallagher et al.,2011
Acacia	colletioides		-	0.77	Morgan & Westoby,2005
Acacia	quornensis		-	0.77	Gallagher et al.,2011
Acacia	hemiteles		-	0.77	Gallagher et al.,2011
Acacia	lineata		-	0.78	Gallagher et al.,2011
Acacia	acinacea		-	0.79	Gallagher et al.,2011
Acacia	extensa		-	0.79	Gallagher et al.,2011
Acacia	melanoxylon		2	0.8	Coulaud et al.,1995
Acacia	ramulosa		-	0.8	Gallagher et al.,2011
Acacia	implexa		2	0.8	Bukhari,1997
Acacia	heterophylla	cv. Ravenshoe	2	0.8	Marie & Brown,1993
Acacia	irrorata		-	0.81	Gallagher et al.,2011
Acacia	argyrophylla		-	0.81	Gallagher et al.,2011
Acacia	wilhelmiana		-	0.81	Morgan & Westoby,2005
Acacia	viscidula		-	0.81	Gallagher et al.,2011
Acacia	doratoxylon		-	0.81	Morgan & Westoby,2005
Acacia	calamifolia		-	0.82	Gallagher et al.,2011
Acacia	schinoides		-	0.82	Gallagher et al.,2011
Acacia	decora		-	0.82	Gallagher et al.,2011
Acacia	sophorae		2	0.8	Bukhari,1997
Acacia	longissima		-	0.83	Gallagher et al.,2011
Acacia	pycnantha		-	0.83	Gallagher et al.,2011
Acacia	howittii		-	0.85	Gallagher et al.,2011
Acacia	nubica		4	0.9	Bukhari,1997
Acacia	suaveolens		-	0.86	Gallagher et al.,2011
Acacia	brachybotrya		-	0.86	Gallagher et al.,2011
Acacia	terminalis		-	0.86	Gallagher et al.,2011
Acacia	ixiophylla		-	0.86	Gallagher et al.,2011
Acacia	decurrens		-	0.86	Gallagher et al.,2011
Acacia	kempeana		-	0.86	Gallagher et al.,2011
Acacia	smallii		-	0.86	Sliwinska et al.,2009
Acacia	retinodes		-	0.87	Gallagher et al.,2011
Acacia	pruinosa		-	0.87	Gallagher et al.,2011
Acacia	pendula		-	0.87	Gallagher et al.,2011
Acacia	baileyana		-	0.87	Gallagher et al.,2011
Acacia	dealbata		2	0.87	Blakesley et al.,2002
Acacia	podalyriifolia		-	0.87	Gallagher et al.,2011
Acacia	subporosa		-	0.88	Gallagher et al.,2011
Acacia	elata		-	0.88	Gallagher et al.,2011
Acacia	beckleri		-	0.88	Gallagher et al.,2011
Acacia	montana		-	0.88	Gallagher et al.,2011
Acacia	cognata		-	0.89	Gallagher et al.,2011
Acacia	paradoxa		-	0.89	Gallagher et al.,2011
Acacia	undulifolia		-	0.9	Gallagher et al.,2011
Acacia	cardiophylla		-	0.9	Gallagher et al.,2011
Acacia	saliciformis		-	0.9	Gallagher et al.,2011
Acacia	jonesii		-	0.91	Gallagher et al.,2011
Acacia	leiophylla		-	0.91	Gallagher et al.,2011
Acacia	verticillata		-	0.91	Gallagher et al.,2011
Acacia	silvestris		-	0.92	Gallagher et al.,2011
Acacia	oswaldii		-	0.92	Morgan & Westoby,2005
Acacia	acuminata		-	0.93	Gallagher et al.,2011
Acacia	deanei		-	0.94	Gallagher et al.,2011
Acacia	flexifolia		-	0.94	Gallagher et al.,2011
Acacia	aspera		-	0.94	Gallagher et al.,2011
Acacia	rubida		-	0.95	Gallagher et al.,2011
Acacia	vestita		-	0.95	Gallagher et al.,2011
Acacia	raddiana		6	1	Bukhari,1997
Acacia	uncinata		-	0.95	Gallagher et al.,2011
Acacia	caesiella		-	0.95	Gallagher et al.,2011
Acer	carpinifolium	NA	4	0.4	Olszewska and Osiecka,1984
Acer	negundo	NA	-	0.54	Loureiro et al.,2007
Acer	tataricum	NA	2	0.6	Siljak-Yakovlev et al.,2010
Acer	campestre	NA	2	0.69	Siljak-Yakovlev et al.,2010
Acer	saccharum	NA	-	0.7	Bai et al.,2012
Acer	x bornmuelleri	NA	2	0.7	Siljak-Yakovlev et al.,2010
Acer	platanoides	NA	2	0.71	Siljak-Yakovlev et al.,2010
Acer	obtusifolium	NA	-	0.72	Bou Dagher-Kharrat et al.,2013
Acer	monspessulanum	NA	2	0.73	Siljak-Yakovlev et al.,2010
Acer	intermedium	NA	2	0.75	Siljak-Yakovlev et al.,2010
Acer	obtusatum	NA	2	0.78	Siljak-Yakovlev et al.,2010
Acer	spicatum	NA	2	0.85	Fridley & Craddock.,2015
Acer	x bornmuelleri	NA	3	1.04	Siljak-Yakovlev et al.,2010
Acer	pensylvanicum	NA	2	1.12	Fridley & Craddock.,2015
Acer	saccharinum	NA	-	1.17	Bai et al.,2012
Acer	heldreichii	NA	4	1.29	Siljak-Yakovlev et al.,2010
Acer	pseudoplatanus	NA	4	1.35	Siljak-Yakovlev et al.,2010
Acer	campestre	NA	4	1.35	Siljak-Yakovlev et al.,2010
Acer	rubrum	NA	-	1.7	Bai et al.,2012
Actinidia	kolomikta		6	0.7	Hopping ME.,1994
Actinidia	eriantha		6	0.76	Hopping ME.,1994
Actinidia	chinensis	var. chinensis	2	0.8	Hopping ME.,1994
Actinidia	polygama		6	0.79	Hopping ME.,1994
Actinidia	arguta	var. arguta	4	1.5	Hopping ME.,1994
Actinidia	chinensis	cv. Deliciosa	6	2.1	Marie & Brown,1993
Actinidia	deliciosa	var. deliciosa	6	2.2	Hopping ME.,1994
Adenophora	liliifolia	NA	2	4.72	Siljak-Yakovlev et al.,2010
Adiantum	pedatum	NA	2	5.13	Bainard et al.,2011
Adiantum	capillus-veneris	NA	-	5.48	Bou Dagher-Kharrat et al.,2013
Adiantum	aleuticum	NA	2	5.71	Clark et al.,2015
Adiantum	venustum	NA	4	7.81	Clark et al.,2015
Aegilops	caudata		2	4.6	Furuta,1970
Aegilops	cylindrica		4	4.7	Furuta,1970
Aegilops	umbellulata		2	5.1	Furuta,1970
Aegilops	squarrosa		2	5.1	Rees and Walters,1965
Aegilops	speltoides		2	5.1	Furuta et al.,1986
Aegilops	searsii		2	5.9	Furuta et al.,1986
Aegilops	longissima		2	6.1	Furuta et al.,1986
Aegilops	comosa		2	6.2	Furuta,1970
Aegilops	uniaristata		2	6.3	Furuta,1970
Aegilops	mutica		2	6.3	Furuta,1970
Aegilops	sharonensis		2	7.1	Furuta et al.,1986
Aegilops	bicornis		2	7.1	Rees and Walters,1965
Aegilops	ovata		4	9.2	Furuta,1970
Aegilops	triuncialis	var. persica (Boiss.) Eig	4	9.5	Furuta,1970
Aegilops	ventricosa		4	9.8	Furuta,1970
Aegilops	geniculata		4	10.29	Eilam et al.,2008
Aegilops	crassa		4	10.5	Furuta,1970
Aegilops	columnaris		4	10.5	Furuta,1970
Aegilops	neglecta		4	10.64	Eilam et al.,2008
Aegilops	biuncialis		4	11.3	Furuta,1970
Aegilops	kotschyi		4	12.3	Furuta,1975
Aegilops	peregrina		4	12.52	Eilam et al.,2008
Aegilops	variabilis		4	13.8	Furuta,1970
Aegilops	triaristata		4	15.5	Furuta,1970
Aegilops	crassa		6	15.7	Furuta,1970
Aegilops	recta		6	16.22	Eilam et al.,2008
Aegilops	vavilovii		6	18.3	Furuta,1970
Aegilops	juvenalis		6	18.8	Furuta,1970
Aegilops	triaristata		6	21.6	Furuta,1970
Aethionema	saxatile	NA	-	0.62	Pustahija et al.,2013
Aethionema	schistosum	NA	4	0.71	Lysák et al.,2009
Aethionema	grandiflorum	NA	2	0.71	Lysák et al.,2009
Aethionema	cordifolium	NA	-	2.14	Bou Dagher-Kharrat et al.,2013
Akebia	trifoliata	NA	-	0.76	Zhang et al.,2013
Alliaria	petiolata	NA	-	1.35	Barow & Meister,2003
Allium	sibiricum		2	7.6	Jones and Rees,1968
Allium	odoratissimum		2	7.8	Jones and Rees,1968
Allium	schoenoprasum		2	8.4	Jones and Rees,1968
Allium	azureum		2	8.9	Jones and Rees,1968
Allium	ledebourianum		2	8.9	Ohri et al.,1996
Allium	fuscum		2	9.2	Jones and Rees,1968
Allium	oliganthum		2	9.3	Ohri et al.,1996
Allium	pallasii		2	9.9	Vakhtina et al.,1977
Allium	roseum		2	10.2	Jones and Rees,1968
Allium	griffithianum		2	10.3	Ohri et al.,1996
Allium	sabulosum		2	10.6	Vakhtina et al.,1977
Allium	dicipience		2	10.7	Jones and Rees,1968
Allium	carinatum		2	11.2	Bosen and Nagl,1978
Allium	caeruleum		2	11.7	Ohri et al.,1996
Allium	fistulosum		2	11.88	Baranyi and Greilhuber,1999
Allium	sphaerocephalon		2	11.9	Ohri et al.,1996
Allium	jesolianum		2	12	Jones and Rees,1968
Allium	flavellum		2	12.1	Ohri et al.,1996
Allium	clathratum		2	12.2	Ohri et al.,1996
Allium	galanthum		2	12.2	Jones and Rees,1968
Allium	zebdanense		2	12.6	Jones and Rees,1968
Allium	flavum	subsp. flavum	2	12.77	Baranyi and Greilhuber,1999
Allium	hymenorrhizum		2	12.8	Ohri et al.,1996
Allium	caesium		2	12.9	Vakhtina et al.,1977
Allium	tenuissimum		2	13	Ohri et al.,1996
Allium	lineare		2	13.1	Ohri et al.,1996
Allium	fetisowii		-	13.13	Gurushidze et al.,2012
Allium	obliquum		2	13.2	Ohri et al.,1996
Allium	leucocephalum		2	13.2	Ohri et al.,1996
Allium	scabrellum		-	13.2	Vakhtina et al.,1977
Allium	carolinianum		2	13.2	Ohri et al.,1996
Allium	schoenoprasum		4	13.4	Labani and Elkington,1987
Allium	akaka		2	13.6	Vakhtina et al.,1977
Allium	junceum		2	13.6	Doherty and Brandham,1990
Allium	saxatile		2	13.8	Vakhtina et al.,1977
Allium	delicatulum		2	13.9	Vakhtina et al.,1977
Allium	albidum		2	14.1	Vakhtina et al.,1977
Allium	mairei		2	14.1	Ohri et al.,1996
Allium	macrochaetum	subsp. tuncelianum	2	14.1	Doherty and Brandham,1990
Allium	bucharicum		2	14.2	Ohri et al.,1996
Allium	praescissum		2	14.3	Vakhtina et al.,1977
Allium	karsianum		2	14.3	Vakhtina et al.,1977
Allium	mongolicum		2	14.3	Ohri et al.,1996
Allium	chamaemoly		-	14.38	Veselý et al.,2012
Allium	altaicum		2	14.6	Vakhtina et al.,1977
Allium	hissaricum		2	14.7	Ohri et al.,1996
Allium	angulosum		2	15.1	Ohri et al.,1996
Allium	tashkenticum		-	15.22	Gurushidze et al.,2012
Allium	taeniopetalum	subsp. mogoltavicum (Vved.) R.M.Fritsch & Khassanov	-	15.31	Gurushidze et al.,2012
Allium	montibaicalense		2	15.3	Ohri et al.,1996
Allium	roylei		2	15.4	Labani and Elkington,1987
Allium	gunibicum		2	15.6	Vakhtina et al.,1977
Allium	chloranthum		2	15.6	Doherty and Brandham,1990
Allium	rotundum		2	15.6	Vakhtina et al.,1977
Allium	neapolitanum		2	15.6	Jones and Rees,1968
Allium	longiradiatum		2	15.7	Vakhtina et al.,1977
Allium	margaritae		2	15.8	Vakhtina et al.,1977
Allium	schubertii		2	15.8	Vakhtina et al.,1977
Allium	hookeri		3	15.8	Ohri et al.,1996
Allium	alexeianum		-	15.82	Gurushidze et al.,2012
Allium	barsczewskii		2	15.8	Labani and Elkington,1987
Allium	caspium		2	15.9	Ohri et al.,1996
Allium	kurssanovii		2	16	Ohri et al.,1996
Allium	severtzovioides		-	16.05	Gurushidze et al.,2012
Allium	ochroleucum		2	16.1	Labani and Elkington,1987
Allium	robustum		-	16.07	Gurushidze et al.,2012
Allium	tulipifolium		-	16.08	Gurushidze et al.,2012
Allium	heldreichii		2	16.1	Ohri et al.,1996
Allium	sativum		2	16.2	Ohri et al.,1996
Allium	protensum		-	16.25	Gurushidze et al.,2012
Allium	wallichii		2	16.2	Ohri et al.,1996
Allium	trifoliatum		3	16.3	Labani and Elkington,1987
Allium	carinatum		3	16.3	Nagl and Fusenig,1979
Allium	unifolium		2	16.3	Ohri et al.,1996
Allium	winklerianum		2	16.44	Gurushidze et al.,2012
Allium	vvedenskyanum		-	16.72	Gurushidze et al.,2012
Allium	verticillatum		-	16.75	Gurushidze et al.,2012
Allium	cepa		2	17.9	Van't Hof,1965
Allium	lipskyanum		2	16.81	Gurushidze et al.,2012
Allium	dictyoprasum		2	16.9	Doherty and Brandham,1990
Allium	gypsaceum		-	16.91	Gurushidze et al.,2012
Allium	darwasicum		2	16.95	Gurushidze et al.,2012
Allium	schachimardanicum		-	16.97	Gurushidze et al.,2012
Allium	chychkanense		-	16.99	Gurushidze et al.,2012
Allium	sarawschanicum		-	17.1	Gurushidze et al.,2012
Allium	cernuum		2	17.1	Jones and Rees,1968
Allium	costatovaginatum		-	17.23	Gurushidze et al.,2012
Allium	gomphrenoides		2	17.4	Doherty and Brandham,1990
Allium	pskemense		2	17.6	Ohri et al.,1996
Allium	kunthianum		2	17.6	Vakhtina et al.,1977
Allium	longicuspis		2	17.6	Doherty and Brandham,1990
Allium	altyncolicum		4	17.6	Ohri et al.,1996
Allium	subhirsutum		2	17.8	Jones and Rees,1968
Allium	iliense		2	17.9	Vakhtina et al.,1977
Allium	hirsutum		2	17.9	Jones and Rees,1968
Allium	cirrhosum		-	18.09	Veselý et al.,2012
Allium	triquetrum		2	18.1	Jones and Rees,1968
Allium	oschaninii		2	18.2	Vakhtina et al.,1977
Allium	motor		-	18.23	Gurushidze et al.,2012
Allium	majus		-	18.28	Gurushidze et al.,2012
Allium	sibiricum		2	7.6	Jones and Rees,1968
Allium	odoratissimum		2	7.8	Jones and Rees,1968
Allium	schoenoprasum		2	8.4	Jones and Rees,1968
Allium	azureum		2	8.9	Jones and Rees,1968
Allium	ledebourianum		2	8.9	Ohri et al.,1996
Allium	fuscum		2	9.2	Jones and Rees,1968
Allium	oliganthum		2	9.3	Ohri et al.,1996
Allium	pallasii		2	9.9	Vakhtina et al.,1977
Allium	roseum		2	10.2	Jones and Rees,1968
Allium	griffithianum		2	10.3	Ohri et al.,1996
Allium	sabulosum		2	10.6	Vakhtina et al.,1977
Allium	dicipience		2	10.7	Jones and Rees,1968
Allium	carinatum		2	11.2	Bosen and Nagl,1978
Allium	caeruleum		2	11.7	Ohri et al.,1996
Allium	fistulosum		2	11.88	Baranyi and Greilhuber,1999
Allium	sphaerocephalon		2	11.9	Ohri et al.,1996
Allium	jesolianum		2	12	Jones and Rees,1968
Allium	flavellum		2	12.1	Ohri et al.,1996
Allium	clathratum		2	12.2	Ohri et al.,1996
Allium	galanthum		2	12.2	Jones and Rees,1968
Allium	zebdanense		2	12.6	Jones and Rees,1968
Allium	flavum	subsp. flavum	2	12.77	Baranyi and Greilhuber,1999
Allium	hymenorrhizum		2	12.8	Ohri et al.,1996
Allium	caesium		2	12.9	Vakhtina et al.,1977
Allium	tenuissimum		2	13	Ohri et al.,1996
Allium	lineare		2	13.1	Ohri et al.,1996
Allium	fetisowii		-	13.13	Gurushidze et al.,2012
Allium	obliquum		2	13.2	Ohri et al.,1996
Allium	leucocephalum		2	13.2	Ohri et al.,1996
Allium	scabrellum		-	13.2	Vakhtina et al.,1977
Allium	carolinianum		2	13.2	Ohri et al.,1996
Allium	schoenoprasum		4	13.4	Labani and Elkington,1987
Allium	akaka		2	13.6	Vakhtina et al.,1977
Allium	junceum		2	13.6	Doherty and Brandham,1990
Allium	saxatile		2	13.8	Vakhtina et al.,1977
Allium	delicatulum		2	13.9	Vakhtina et al.,1977
Allium	albidum		2	14.1	Vakhtina et al.,1977
Allium	mairei		2	14.1	Ohri et al.,1996
Allium	macrochaetum	subsp. tuncelianum	2	14.1	Doherty and Brandham,1990
Allium	bucharicum		2	14.2	Ohri et al.,1996
Allium	praescissum		2	14.3	Vakhtina et al.,1977
Allium	karsianum		2	14.3	Vakhtina et al.,1977
Allium	mongolicum		2	14.3	Ohri et al.,1996
Allium	chamaemoly		-	14.38	Veselý et al.,2012
Allium	altaicum		2	14.6	Vakhtina et al.,1977
Allium	hissaricum		2	14.7	Ohri et al.,1996
Allium	angulosum		2	15.1	Ohri et al.,1996
Allium	tashkenticum		-	15.22	Gurushidze et al.,2012
Allium	taeniopetalum	subsp. mogoltavicum (Vved.) R.M.Fritsch & Khassanov	-	15.31	Gurushidze et al.,2012
Allium	montibaicalense		2	15.3	Ohri et al.,1996
Allium	roylei		2	15.4	Labani and Elkington,1987
Allium	gunibicum		2	15.6	Vakhtina et al.,1977
Allium	chloranthum		2	15.6	Doherty and Brandham,1990
Allium	rotundum		2	15.6	Vakhtina et al.,1977
Allium	neapolitanum		2	15.6	Jones and Rees,1968
Allium	longiradiatum		2	15.7	Vakhtina et al.,1977
Allium	margaritae		2	15.8	Vakhtina et al.,1977
Allium	schubertii		2	15.8	Vakhtina et al.,1977
Allium	hookeri		3	15.8	Ohri et al.,1996
Allium	alexeianum		-	15.82	Gurushidze et al.,2012
Allium	barsczewskii		2	15.8	Labani and Elkington,1987
Allium	caspium		2	15.9	Ohri et al.,1996
Allium	kurssanovii		2	16	Ohri et al.,1996
Allium	severtzovioides		-	16.05	Gurushidze et al.,2012
Allium	ochroleucum		2	16.1	Labani and Elkington,1987
Allium	robustum		-	16.07	Gurushidze et al.,2012
Allium	tulipifolium		-	16.08	Gurushidze et al.,2012
Allium	heldreichii		2	16.1	Ohri et al.,1996
Allium	sativum		2	16.2	Ohri et al.,1996
Allium	protensum		-	16.25	Gurushidze et al.,2012
Allium	wallichii		2	16.2	Ohri et al.,1996
Allium	trifoliatum		3	16.3	Labani and Elkington,1987
Allium	carinatum		3	16.3	Nagl and Fusenig,1979
Allium	unifolium		2	16.3	Ohri et al.,1996
Allium	winklerianum		2	16.44	Gurushidze et al.,2012
Allium	vvedenskyanum		-	16.72	Gurushidze et al.,2012
Allium	verticillatum		-	16.75	Gurushidze et al.,2012
Allium	cepa		2	17.9	Van't Hof,1965
Allium	lipskyanum		2	16.81	Gurushidze et al.,2012
Allium	dictyoprasum		2	16.9	Doherty and Brandham,1990
Allium	gypsaceum		-	16.91	Gurushidze et al.,2012
Allium	darwasicum		2	16.95	Gurushidze et al.,2012
Allium	schachimardanicum		-	16.97	Gurushidze et al.,2012
Allium	chychkanense		-	16.99	Gurushidze et al.,2012
Allium	sarawschanicum		-	17.1	Gurushidze et al.,2012
Allium	cernuum		2	17.1	Jones and Rees,1968
Allium	costatovaginatum		-	17.23	Gurushidze et al.,2012
Allium	gomphrenoides		2	17.4	Doherty and Brandham,1990
Allium	pskemense		2	17.6	Ohri et al.,1996
Allium	kunthianum		2	17.6	Vakhtina et al.,1977
Allium	longicuspis		2	17.6	Doherty and Brandham,1990
Allium	altyncolicum		4	17.6	Ohri et al.,1996
Allium	subhirsutum		2	17.8	Jones and Rees,1968
Allium	iliense		2	17.9	Vakhtina et al.,1977
Allium	hirsutum		2	17.9	Jones and Rees,1968
Allium	cirrhosum		-	18.09	Veselý et al.,2012
Allium	triquetrum		2	18.1	Jones and Rees,1968
Allium	oschaninii		2	18.2	Vakhtina et al.,1977
Allium	motor		-	18.23	Gurushidze et al.,2012
Allium	majus		-	18.28	Gurushidze et al.,2012
Allium	sibiricum		2	7.6	Jones and Rees,1968
Allium	odoratissimum		2	7.8	Jones and Rees,1968
Allium	schoenoprasum		2	8.4	Jones and Rees,1968
Allium	azureum		2	8.9	Jones and Rees,1968
Allium	ledebourianum		2	8.9	Ohri et al.,1996
Allium	fuscum		2	9.2	Jones and Rees,1968
Allium	oliganthum		2	9.3	Ohri et al.,1996
Allium	pallasii		2	9.9	Vakhtina et al.,1977
Allium	roseum		2	10.2	Jones and Rees,1968
Allium	griffithianum		2	10.3	Ohri et al.,1996
Allium	sabulosum		2	10.6	Vakhtina et al.,1977
Allium	dicipience		2	10.7	Jones and Rees,1968
Allium	carinatum		2	11.2	Bosen and Nagl,1978
Allium	caeruleum		2	11.7	Ohri et al.,1996
Allium	fistulosum		2	11.88	Baranyi and Greilhuber,1999
Allium	sphaerocephalon		2	11.9	Ohri et al.,1996
Allium	jesolianum		2	12	Jones and Rees,1968
Allium	flavellum		2	12.1	Ohri et al.,1996
Allium	clathratum		2	12.2	Ohri et al.,1996
Allium	galanthum		2	12.2	Jones and Rees,1968
Allium	zebdanense		2	12.6	Jones and Rees,1968
Allium	flavum	subsp. flavum	2	12.77	Baranyi and Greilhuber,1999
